y
130683
131244
142488
147175
152420
151849
152586
152476
148158
155987
154824
191347
137020
134462
153025
158615
163519
162964
164590
163989
159298
163992
169980
206174
145276
146332
173562
170795
175527
178509
173198
182445
175128
178642
184272
221549
158004
155156
181910
176635
190269
191609
182909
193370
182521
184276
193405
227552
167372
173941
191851
191886
205797
196842
197140
204270
189424
201927
203621
237478
181073
178428
203750
199219
211516
205491
208856
211952
201415
210145
207533
249389
187445
183767
207973
212262
221155
220867
217687
216605
208915
220499
218969
265618
196810
199451
230230
227109
237462
236830
236992
240478
230665
233193
240857
293013
213709
227087
253717
239051
257581
255066
244445
257487
243624
245167
252145
294197
226791
223971
253439
249062
268658
260315
251504
266460
236210
265188
262004
298666
230546
228084
257133
257357
271682
260385
266795
277716
246350
259945
263738
308821
242271
233478
264532
265990
281482
271242
279323
285212
265331
273781
272396
327693
252818
253689
287944
284325
296253
289664
294875
294133
282974
287468
294278
354627
263469
265320
306384
302054
311292
317375
316887
321409
300439
302213
311715
370726
286152
282417
326153
316526
337393
330844
325905
339155
310775
312976
323089
380188
295284
290065
335917
321981
353201
338189
333815
349191
317145
331073
341848
387473
307576
308171
334416
331002
357277
339791
344158
342443
313308
311422
299238
346513
273998
264465
290068
292041
307481
306050
308847
314505
288071
300360
303850
362735
279044
275566
321305
316940
324820
319183
320915
322319
307638
315059
328381
386878
298626
299920
345052
339014
348979
346620
341381
352224
333642
337067
351517
408910
315540
331470
368502
349194
373129
356083
351520
372986
342582
355823
368593
416807
333792
332491
374153
362978
389694
369264
376921
388107
352558
369657
378499
430336
340412
337329
383421
383809
408222
385429
394582
401234
374272
388210
391317
451203
350026
341415
392786
387261
409288
397687
406368
404720
382001
392585
396462
465394
352051
363761
405542
395307
413617
410538
406480
417129
394843
397923
415102
484041
369883
366697
424836
409718
437604
426090
419913
434961
415471
421000
445632
501921
391584
384117
449698
424946
468034
451241
